Country,EdLevel,YearsCodePro,Salary,lat,lon
United Kingdom,Bachelor’s degree,20.0,123127.0,53.91477348053706,-2.8531353951805545
Israel,Bachelor’s degree,10.0,197292.0,31.4849193900197,35.003851206429005
Canada,Bachelor’s degree,1.0,35138.0,61.46907614534896,-98.14238137209708
United Kingdom,Master’s degree,11.0,80409.0,53.91477348053706,-2.8531353951805545
India,Bachelor’s degree,12.0,15480.0,22.92500640740852,79.59370376325381
United States of America,Master’s degree,11.0,200000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,1.0,132000.0,45.70562800215178,-112.5994359115045
Belgium,Bachelor’s degree,9.0,63984.0,50.65244095902296,4.580834113854935
Germany,Post grad,7.0,92136.0,51.13372269040778,10.288485092742851
Bulgaria,Master’s degree,9.0,32712.0,42.7531187620217,25.19511095327711
Netherlands,Bachelor’s degree,3.0,38388.0,52.298700374441786,5.512217100965399
Germany,Bachelor’s degree,23.0,165298.0,51.13372269040778,10.288485092742851
Ireland,Bachelor’s degree,7.0,106644.0,53.18059120995006,-8.010236544877012
United States of America,Bachelor’s degree,15.0,136000.0,45.70562800215178,-112.5994359115045
United Kingdom,Master’s degree,5.0,54025.0,53.91477348053706,-2.8531353951805545
United States of America,Bachelor’s degree,0.5,130000.0,45.70562800215178,-112.5994359115045
United Kingdom,Bachelor’s degree,18.0,136947.0,53.91477348053706,-2.8531353951805545
Poland,Less than a Bachelors,6.0,41625.0,52.14826021933187,19.31101430844868
United States of America,Master’s degree,15.0,200000.0,45.70562800215178,-112.5994359115045
United Kingdom,Master’s degree,7.0,118729.0,53.91477348053706,-2.8531353951805545
United States of America,Bachelor’s degree,3.0,110000.0,45.70562800215178,-112.5994359115045
United States of America,Less than a Bachelors,1.0,70000.0,45.70562800215178,-112.5994359115045
India,Bachelor’s degree,5.0,58037.0,22.92500640740852,79.59370376325381
France,Master’s degree,4.0,52789.0,42.46070432663372,-2.8766966992706267
United States of America,Master’s degree,4.0,100000.0,45.70562800215178,-112.5994359115045
United States of America,Less than a Bachelors,10.0,120000.0,45.70562800215178,-112.5994359115045
United Kingdom,Bachelor’s degree,8.0,60307.0,53.91477348053706,-2.8531353951805545
United States of America,Bachelor’s degree,9.0,100000.0,45.70562800215178,-112.5994359115045
United Kingdom,Bachelor’s degree,0.5,27641.0,53.91477348053706,-2.8531353951805545
United States of America,Bachelor’s degree,5.0,75000.0,45.70562800215178,-112.5994359115045
Belgium,Master’s degree,5.0,63984.0,50.65244095902296,4.580834113854935
United Kingdom,Bachelor’s degree,15.0,213587.0,53.91477348053706,-2.8531353951805545
France,Master’s degree,15.0,85315.0,42.46070432663372,-2.8766966992706267
United States of America,Bachelor’s degree,14.0,147000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,2.0,172000.0,45.70562800215178,-112.5994359115045
United Kingdom,Bachelor’s degree,7.0,59050.0,53.91477348053706,-2.8531353951805545
United States of America,Bachelor’s degree,14.0,101000.0,45.70562800215178,-112.5994359115045
United States of America,Less than a Bachelors,9.0,120000.0,45.70562800215178,-112.5994359115045
United States of America,Less than a Bachelors,19.0,160000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,4.0,175000.0,45.70562800215178,-112.5994359115045
Brazil,Bachelor’s degree,3.0,42440.0,-10.806773643498916,-53.05434003576711
Canada,Bachelor’s degree,5.0,136647.0,61.46907614534896,-98.14238137209708
Netherlands,Bachelor’s degree,37.0,62387.0,52.298700374441786,5.512217100965399
United States of America,Less than a Bachelors,46.0,100000.0,45.70562800215178,-112.5994359115045
France,Master’s degree,3.0,58654.0,42.46070432663372,-2.8766966992706267
Canada,Less than a Bachelors,0.5,46850.0,61.46907614534896,-98.14238137209708
Germany,Master’s degree,20.0,68252.0,51.13372269040778,10.288485092742851
Mexico,Bachelor’s degree,0.5,12500.0,23.935371902244835,-102.5763495239869
Spain,Master’s degree,3.0,26128.0,40.348656106226734,-3.6170206023873743
United States of America,Bachelor’s degree,5.0,75000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,22.0,250000.0,45.70562800215178,-112.5994359115045
Netherlands,Less than a Bachelors,12.0,49056.0,52.298700374441786,5.512217100965399
Canada,Less than a Bachelors,3.0,75507.0,61.46907614534896,-98.14238137209708
Poland,Master’s degree,2.0,27756.0,52.14826021933187,19.31101430844868
Israel,Bachelor’s degree,11.0,197292.0,31.4849193900197,35.003851206429005
Sweden,Master’s degree,6.0,73140.0,62.811484968080336,16.59626584684802
United Kingdom,Bachelor’s degree,3.0,27641.0,53.91477348053706,-2.8531353951805545
Canada,Bachelor’s degree,2.0,43727.0,61.46907614534896,-98.14238137209708
Israel,Bachelor’s degree,15.0,190925.0,31.4849193900197,35.003851206429005
Poland,Master’s degree,10.0,50875.0,52.14826021933187,19.31101430844868
United Kingdom,Bachelor’s degree,7.0,96742.0,53.91477348053706,-2.8531353951805545
Switzerland,Master’s degree,20.0,155129.0,46.79173768366762,8.118300613385486
United States of America,Bachelor’s degree,23.0,140000.0,45.70562800215178,-112.5994359115045
Israel,Less than a Bachelors,6.0,96852.0,31.4849193900197,35.003851206429005
United Kingdom,Bachelor’s degree,2.0,42089.0,53.91477348053706,-2.8531353951805545
Netherlands,Bachelor’s degree,12.0,93846.0,52.298700374441786,5.512217100965399
United States of America,Bachelor’s degree,2.0,67000.0,45.70562800215178,-112.5994359115045
Brazil,Bachelor’s degree,15.0,86304.0,-10.806773643498916,-53.05434003576711
Netherlands,Less than a Bachelors,1.0,213287.0,52.298700374441786,5.512217100965399
Austria,Less than a Bachelors,13.0,66119.0,47.6139487927463,14.076158884337072
Germany,Master’s degree,3.0,71451.0,51.13372269040778,10.288485092742851
United States of America,Bachelor’s degree,3.0,150000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,3.0,83000.0,45.70562800215178,-112.5994359115045
Sweden,Bachelor’s degree,10.0,71916.0,62.811484968080336,16.59626584684802
France,Master’s degree,5.0,34126.0,42.46070432663372,-2.8766966992706267
Canada,Master’s degree,7.0,70276.0,61.46907614534896,-98.14238137209708
Canada,Master’s degree,14.0,140551.0,61.46907614534896,-98.14238137209708
Poland,Master’s degree,4.0,41628.0,52.14826021933187,19.31101430844868
United States of America,Bachelor’s degree,8.0,104000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,1.0,155000.0,45.70562800215178,-112.5994359115045
United Kingdom,Less than a Bachelors,7.0,26384.0,53.91477348053706,-2.8531353951805545
United States of America,Bachelor’s degree,10.0,206000.0,45.70562800215178,-112.5994359115045
Spain,Less than a Bachelors,15.0,49056.0,40.348656106226734,-3.6170206023873743
United States of America,Bachelor’s degree,3.0,45000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,2.0,130000.0,45.70562800215178,-112.5994359115045
United States of America,Less than a Bachelors,10.0,230000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,12.0,155000.0,45.70562800215178,-112.5994359115045
United Kingdom,Master’s degree,19.0,138203.0,53.91477348053706,-2.8531353951805545
Austria,Less than a Bachelors,24.0,74651.0,47.6139487927463,14.076158884337072
United Kingdom,Bachelor’s degree,4.0,75384.0,53.91477348053706,-2.8531353951805545
Canada,Less than a Bachelors,10.0,74180.0,61.46907614534896,-98.14238137209708
United States of America,Bachelor’s degree,4.0,130000.0,45.70562800215178,-112.5994359115045
Israel,Master’s degree,12.0,194303.0,31.4849193900197,35.003851206429005
United Kingdom,Bachelor’s degree,24.0,81666.0,53.91477348053706,-2.8531353951805545
United States of America,Bachelor’s degree,1.0,80000.0,45.70562800215178,-112.5994359115045
Ireland,Bachelor’s degree,15.0,53322.0,53.18059120995006,-8.010236544877012
South Africa,Bachelor’s degree,21.0,56897.0,-28.947033259979115,25.048013879861678
United States of America,Bachelor’s degree,4.0,240000.0,45.70562800215178,-112.5994359115045
Germany,Less than a Bachelors,1.0,44790.0,51.13372269040778,10.288485092742851
United States of America,Master’s degree,0.5,100000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,7.0,75000.0,45.70562800215178,-112.5994359115045
Austria,Bachelor’s degree,3.0,43512.0,47.6139487927463,14.076158884337072
Sweden,Master’s degree,10.0,68256.0,62.811484968080336,16.59626584684802
United States of America,Master’s degree,3.0,120000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,20.0,160000.0,45.70562800215178,-112.5994359115045
United States of America,Post grad,32.0,175000.0,45.70562800215178,-112.5994359115045
China,Bachelor’s degree,5.0,75684.0,36.555066531858685,103.88361230063249
United States of America,Bachelor’s degree,11.0,150000.0,45.70562800215178,-112.5994359115045
Sweden,Less than a Bachelors,7.0,60948.0,62.811484968080336,16.59626584684802
United States of America,Less than a Bachelors,14.0,120000.0,45.70562800215178,-112.5994359115045
United States of America,Master’s degree,20.0,210000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,4.0,109000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,4.0,70000.0,45.70562800215178,-112.5994359115045
United States of America,Less than a Bachelors,13.0,150000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,5.0,100000.0,45.70562800215178,-112.5994359115045
Brazil,Bachelor’s degree,19.0,74784.0,-10.806773643498916,-53.05434003576711
Italy,Less than a Bachelors,1.0,14460.0,42.751183052964265,12.140788372235871
United States of America,Bachelor’s degree,15.0,96000.0,45.70562800215178,-112.5994359115045
United States of America,Less than a Bachelors,2.0,52800.0,45.70562800215178,-112.5994359115045
United Kingdom,Bachelor’s degree,10.0,50256.0,53.91477348053706,-2.8531353951805545
United States of America,Bachelor’s degree,22.0,160000.0,45.70562800215178,-112.5994359115045
Finland,Bachelor’s degree,6.0,42228.0,64.50409403963651,26.211764610296353
United States of America,Bachelor’s degree,9.0,124000.0,45.70562800215178,-112.5994359115045
United Kingdom,Master’s degree,12.0,125639.0,53.91477348053706,-2.8531353951805545
France,Master’s degree,5.0,44790.0,42.46070432663372,-2.8766966992706267
United States of America,Bachelor’s degree,20.0,205000.0,45.70562800215178,-112.5994359115045
Netherlands,Bachelor’s degree,6.0,54384.0,52.298700374441786,5.512217100965399
United States of America,Less than a Bachelors,4.0,100000.0,45.70562800215178,-112.5994359115045
United Kingdom,Bachelor’s degree,9.0,55281.0,53.91477348053706,-2.8531353951805545
France,Master’s degree,5.0,52255.0,42.46070432663372,-2.8766966992706267
Israel,Bachelor’s degree,4.0,111204.0,31.4849193900197,35.003851206429005
United Kingdom,Bachelor’s degree,7.0,56538.0,53.91477348053706,-2.8531353951805545
United States of America,Bachelor’s degree,1.0,76000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,8.0,115000.0,45.70562800215178,-112.5994359115045
United States of America,Less than a Bachelors,8.0,200000.0,45.70562800215178,-112.5994359115045
Denmark,Master’s degree,2.0,103248.0,56.06393446179454,9.876372937675002
Germany,Less than a Bachelors,3.0,40956.0,51.13372269040778,10.288485092742851
United States of America,Bachelor’s degree,12.0,86000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,5.0,165000.0,45.70562800215178,-112.5994359115045
Belgium,Bachelor’s degree,23.0,92780.0,50.65244095902296,4.580834113854935
United States of America,Less than a Bachelors,0.5,160000.0,45.70562800215178,-112.5994359115045
United States of America,Master’s degree,5.0,145000.0,45.70562800215178,-112.5994359115045
United States of America,Less than a Bachelors,6.0,80000.0,45.70562800215178,-112.5994359115045
Spain,Less than a Bachelors,6.0,31993.0,40.348656106226734,-3.6170206023873743
United States of America,Bachelor’s degree,3.0,96300.0,45.70562800215178,-112.5994359115045
Germany,Bachelor’s degree,1.0,57588.0,51.13372269040778,10.288485092742851
United States of America,Less than a Bachelors,1.0,55000.0,45.70562800215178,-112.5994359115045
United Kingdom,Bachelor’s degree,12.0,126142.0,53.91477348053706,-2.8531353951805545
United States of America,Bachelor’s degree,4.0,158000.0,45.70562800215178,-112.5994359115045
United States of America,Post grad,5.0,90000.0,45.70562800215178,-112.5994359115045
Spain,Bachelor’s degree,10.0,25594.0,40.348656106226734,-3.6170206023873743
Spain,Less than a Bachelors,0.5,21329.0,40.348656106226734,-3.6170206023873743
United States of America,Bachelor’s degree,6.0,150000.0,45.70562800215178,-112.5994359115045
United Kingdom,Master’s degree,4.0,87948.0,53.91477348053706,-2.8531353951805545
Sweden,Master’s degree,7.0,92436.0,62.811484968080336,16.59626584684802
United States of America,Less than a Bachelors,1.0,75000.0,45.70562800215178,-112.5994359115045
Israel,Bachelor’s degree,9.0,150660.0,31.4849193900197,35.003851206429005
United Kingdom,Bachelor’s degree,22.0,108050.0,53.91477348053706,-2.8531353951805545
France,Bachelor’s degree,5.0,36259.0,42.46070432663372,-2.8766966992706267
Canada,Bachelor’s degree,1.0,89016.0,61.46907614534896,-98.14238137209708
United States of America,Less than a Bachelors,8.0,120000.0,45.70562800215178,-112.5994359115045
United Kingdom,Bachelor’s degree,3.0,100511.0,53.91477348053706,-2.8531353951805545
United States of America,Master’s degree,6.0,140000.0,45.70562800215178,-112.5994359115045
Netherlands,Bachelor’s degree,2.0,42228.0,52.298700374441786,5.512217100965399
Australia,Bachelor’s degree,19.0,106157.0,-25.730654779726077,134.50277547536595
Greece,Bachelor’s degree,1.0,17063.0,39.066715899713955,22.719813447095053
United States of America,Master’s degree,20.0,200000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,17.0,160000.0,45.70562800215178,-112.5994359115045
United States of America,Master’s degree,5.0,110000.0,45.70562800215178,-112.5994359115045
Netherlands,Bachelor’s degree,4.0,62712.0,52.298700374441786,5.512217100965399
Germany,Bachelor’s degree,6.0,63986.0,51.13372269040778,10.288485092742851
Australia,Bachelor’s degree,1.0,67940.0,-25.730654779726077,134.50277547536595
United Kingdom,Bachelor’s degree,15.0,125639.0,53.91477348053706,-2.8531353951805545
United States of America,Less than a Bachelors,4.0,53000.0,45.70562800215178,-112.5994359115045
Switzerland,Master’s degree,10.0,110659.0,46.79173768366762,8.118300613385486
United States of America,Bachelor’s degree,3.0,72000.0,45.70562800215178,-112.5994359115045
Canada,Bachelor’s degree,3.0,62467.0,61.46907614534896,-98.14238137209708
United States of America,Bachelor’s degree,3.0,50000.0,45.70562800215178,-112.5994359115045
France,Master’s degree,9.0,106644.0,42.46070432663372,-2.8766966992706267
Canada,Bachelor’s degree,27.0,54659.0,61.46907614534896,-98.14238137209708
Finland,Bachelor’s degree,2.0,38388.0,64.50409403963651,26.211764610296353
United Kingdom,Master’s degree,4.0,60307.0,53.91477348053706,-2.8531353951805545
India,Bachelor’s degree,13.0,30948.0,22.92500640740852,79.59370376325381
United Kingdom,Bachelor’s degree,9.0,50256.0,53.91477348053706,-2.8531353951805545
Canada,Bachelor’s degree,4.0,58563.0,61.46907614534896,-98.14238137209708
United Kingdom,Less than a Bachelors,6.0,56538.0,53.91477348053706,-2.8531353951805545
Portugal,Master’s degree,11.0,50123.0,39.63404977497817,-8.055765588295687
United States of America,Bachelor’s degree,1.0,200000.0,45.70562800215178,-112.5994359115045
United Kingdom,Less than a Bachelors,28.0,113075.0,53.91477348053706,-2.8531353951805545
Argentina,Less than a Bachelors,3.0,13128.0,-35.4468214894951,-65.17536077114173
Hungary,Bachelor’s degree,2.0,23436.0,47.19995117195427,19.357628627745918
United States of America,Bachelor’s degree,3.0,90000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,2.0,70000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,2.0,171000.0,45.70562800215178,-112.5994359115045
France,Master’s degree,1.0,26661.0,42.46070432663372,-2.8766966992706267
United States of America,Master’s degree,14.0,86000.0,45.70562800215178,-112.5994359115045
Germany,Less than a Bachelors,7.0,47990.0,51.13372269040778,10.288485092742851
United States of America,Bachelor’s degree,2.0,78000.0,45.70562800215178,-112.5994359115045
France,Less than a Bachelors,5.0,72518.0,42.46070432663372,-2.8766966992706267
United States of America,Bachelor’s degree,22.0,187000.0,45.70562800215178,-112.5994359115045
India,Bachelor’s degree,5.0,64486.0,22.92500640740852,79.59370376325381
United States of America,Bachelor’s degree,1.0,78337.0,45.70562800215178,-112.5994359115045
Australia,Less than a Bachelors,10.0,81387.0,-25.730654779726077,134.50277547536595
Hungary,Bachelor’s degree,8.0,23436.0,47.19995117195427,19.357628627745918
United States of America,Bachelor’s degree,11.0,215000.0,45.70562800215178,-112.5994359115045
Canada,Bachelor’s degree,5.0,85112.0,61.46907614534896,-98.14238137209708
Canada,Less than a Bachelors,2.0,50755.0,61.46907614534896,-98.14238137209708
United States of America,Bachelor’s degree,7.0,150000.0,45.70562800215178,-112.5994359115045
France,Master’s degree,6.0,47990.0,42.46070432663372,-2.8766966992706267
United Kingdom,Bachelor’s degree,16.0,81666.0,53.91477348053706,-2.8531353951805545
Germany,Master’s degree,14.0,170630.0,51.13372269040778,10.288485092742851
United States of America,Bachelor’s degree,4.0,162373.0,45.70562800215178,-112.5994359115045
France,Master’s degree,14.0,69318.0,42.46070432663372,-2.8766966992706267
Canada,Less than a Bachelors,2.0,64029.0,61.46907614534896,-98.14238137209708
United States of America,Bachelor’s degree,1.0,55000.0,45.70562800215178,-112.5994359115045
Netherlands,Less than a Bachelors,10.0,41592.0,52.298700374441786,5.512217100965399
Denmark,Master’s degree,6.0,86040.0,56.06393446179454,9.876372937675002
United States of America,Less than a Bachelors,15.0,125000.0,45.70562800215178,-112.5994359115045
United States of America,Less than a Bachelors,31.0,200000.0,45.70562800215178,-112.5994359115045
United States of America,Less than a Bachelors,12.0,110000.0,45.70562800215178,-112.5994359115045
United States of America,Master’s degree,2.0,250000.0,45.70562800215178,-112.5994359115045
United Kingdom,Less than a Bachelors,7.0,71614.0,53.91477348053706,-2.8531353951805545
Finland,Master’s degree,15.0,69744.0,64.50409403963651,26.211764610296353
United States of America,Master’s degree,4.0,82000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,8.0,125000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,25.0,150000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,7.0,180000.0,45.70562800215178,-112.5994359115045
Switzerland,Master’s degree,1.0,93078.0,46.79173768366762,8.118300613385486
United States of America,Master’s degree,20.0,140000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,21.0,95000.0,45.70562800215178,-112.5994359115045
Finland,Master’s degree,6.0,76788.0,64.50409403963651,26.211764610296353
United States of America,Bachelor’s degree,7.0,125000.0,45.70562800215178,-112.5994359115045
United Kingdom,Less than a Bachelors,2.0,32666.0,53.91477348053706,-2.8531353951805545
Netherlands,Master’s degree,2.0,154633.0,52.298700374441786,5.512217100965399
Canada,Bachelor’s degree,5.0,121030.0,61.46907614534896,-98.14238137209708
United Kingdom,Bachelor’s degree,3.0,62820.0,53.91477348053706,-2.8531353951805545
Hungary,Master’s degree,16.0,66948.0,47.19995117195427,19.357628627745918
Poland,Master’s degree,12.0,77700.0,52.14826021933187,19.31101430844868
United Kingdom,Bachelor’s degree,16.0,59679.0,53.91477348053706,-2.8531353951805545
Germany,Post grad,10.0,95979.0,51.13372269040778,10.288485092742851
United Kingdom,Master’s degree,6.0,72243.0,53.91477348053706,-2.8531353951805545
Canada,Bachelor’s degree,15.0,117126.0,61.46907614534896,-98.14238137209708
Belgium,Bachelor’s degree,2.0,29436.0,50.65244095902296,4.580834113854935
United Kingdom,Bachelor’s degree,2.0,44853.0,53.91477348053706,-2.8531353951805545
United States of America,Less than a Bachelors,12.0,135000.0,45.70562800215178,-112.5994359115045
Germany,Master’s degree,5.0,65268.0,51.13372269040778,10.288485092742851
United States of America,Bachelor’s degree,2.0,110000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,7.0,75000.0,45.70562800215178,-112.5994359115045
Brazil,Less than a Bachelors,1.0,112176.0,-10.806773643498916,-53.05434003576711
United States of America,Bachelor’s degree,23.0,120000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,6.0,120000.0,45.70562800215178,-112.5994359115045
Ukraine,Master’s degree,17.0,55000.0,48.97301760592337,31.369528906580406
Spain,Post grad,22.0,53322.0,40.348656106226734,-3.6170206023873743
United States of America,Less than a Bachelors,8.0,114000.0,45.70562800215178,-112.5994359115045
United States of America,Master’s degree,25.0,161000.0,45.70562800215178,-112.5994359115045
United States of America,Master’s degree,11.0,175000.0,45.70562800215178,-112.5994359115045
United States of America,Less than a Bachelors,20.0,172000.0,45.70562800215178,-112.5994359115045
Canada,Less than a Bachelors,11.0,105414.0,61.46907614534896,-98.14238137209708
Germany,Less than a Bachelors,3.0,63984.0,51.13372269040778,10.288485092742851
United States of America,Bachelor’s degree,8.0,62000.0,45.70562800215178,-112.5994359115045
Poland,Bachelor’s degree,13.0,110000.0,52.14826021933187,19.31101430844868
Germany,Bachelor’s degree,11.0,69318.0,51.13372269040778,10.288485092742851
United Kingdom,Bachelor’s degree,5.0,87948.0,53.91477348053706,-2.8531353951805545
United States of America,Bachelor’s degree,15.0,200000.0,45.70562800215178,-112.5994359115045
Austria,Post grad,30.0,159966.0,47.6139487927463,14.076158884337072
United States of America,Bachelor’s degree,2.0,75000.0,45.70562800215178,-112.5994359115045
United Kingdom,Master’s degree,2.0,41461.0,53.91477348053706,-2.8531353951805545
United States of America,Bachelor’s degree,5.0,125000.0,45.70562800215178,-112.5994359115045
United States of America,Less than a Bachelors,4.0,85000.0,45.70562800215178,-112.5994359115045
United States of America,Less than a Bachelors,14.0,51000.0,45.70562800215178,-112.5994359115045
France,Master’s degree,7.0,49908.0,42.46070432663372,-2.8766966992706267
Germany,Bachelor’s degree,7.0,110568.0,51.13372269040778,10.288485092742851
United States of America,Less than a Bachelors,6.0,120000.0,45.70562800215178,-112.5994359115045
Canada,Bachelor’s degree,5.0,149922.0,61.46907614534896,-98.14238137209708
United Kingdom,Less than a Bachelors,8.0,113075.0,53.91477348053706,-2.8531353951805545
United States of America,Master’s degree,10.0,225000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,10.0,220000.0,45.70562800215178,-112.5994359115045
United States of America,Less than a Bachelors,11.0,180000.0,45.70562800215178,-112.5994359115045
United States of America,Bachelor’s degree,5.0,105000.0,45.70562800215178,-112.5994359115045
Germany,Bachelor’s degree,5.0,95979.0,51.13372269040778,10.288485092742851
Spain,Less than a Bachelors,22.0,44790.0,40.348656106226734,-3.6170206023873743
Canada,Bachelor’s degree,8.0,166319.0,61.46907614534896,-98.14238137209708
Brazil,Less than a Bachelors,34.0,13212.0,-10.806773643498916,-53.05434003576711
Spain,Post grad,10.0,37325.0,40.348656106226734,-3.6170206023873743
United Kingdom,Master’s degree,6.0,62820.0,53.91477348053706,-2.8531353951805545
United States of America,Bachelor’s degree,4.0,120000.0,45.70562800215178,-112.5994359115045
Mexico,Bachelor’s degree,8.0,18060.0,23.935371902244835,-102.5763495239869
United States of America,Bachelor’s degree,9.0,120000.0,45.70562800215178,-112.5994359115045
United States of America,Master’s degree,3.0,120000.0,45.70562800215178,-112.5994359115045
