Country,EdLevel,YearsCodePro,Salary
Spain,Less than a Bachelors,8.0,44790.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,78525.0
Poland,Master’s degree,20.0,76313.0
Other,Less than a Bachelors,12.0,26868.0
United States of America,Bachelor’s degree,3.0,110000.0
Canada,Bachelor’s degree,4.0,66372.0
Sweden,Master’s degree,4.0,81672.0
Italy,Less than a Bachelors,12.0,21120.0
Canada,Bachelor’s degree,5.0,78084.0
United States of America,Bachelor’s degree,5.0,98000.0
United States of America,Bachelor’s degree,24.0,144000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,20.0,123127.0
Israel,Bachelor’s degree,10.0,197292.0
Canada,Bachelor’s degree,1.0,35138.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,11.0,80409.0
India,Bachelor’s degree,12.0,15480.0
United States of America,Master’s degree,11.0,200000.0
United States of America,Bachelor’s degree,1.0,132000.0
Belgium,Bachelor’s degree,9.0,63984.0
Germany,Post grad,7.0,92136.0
Bulgaria,Master’s degree,9.0,32712.0
Netherlands,Bachelor’s degree,3.0,38388.0
Germany,Bachelor’s degree,23.0,165298.0
Ireland,Bachelor’s degree,7.0,106644.0
United States of America,Bachelor’s degree,15.0,136000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,54025.0
United States of America,Bachelor’s degree,0.5,130000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,18.0,136947.0
Poland,Less than a Bachelors,6.0,41625.0
United States of America,Master’s degree,15.0,200000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,7.0,118729.0
United States of America,Bachelor’s degree,3.0,110000.0
United States of America,Less than a Bachelors,1.0,70000.0
India,Bachelor’s degree,5.0,58037.0
France,Master’s degree,4.0,52789.0
United States of America,Master’s degree,4.0,100000.0
United States of America,Less than a Bachelors,10.0,120000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,60307.0
United States of America,Bachelor’s degree,9.0,100000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,0.5,27641.0
United States of America,Bachelor’s degree,5.0,75000.0
Belgium,Master’s degree,5.0,63984.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,15.0,213587.0
France,Master’s degree,15.0,85315.0
Other,Master’s degree,11.0,160008.0
United States of America,Bachelor’s degree,14.0,147000.0
United States of America,Bachelor’s degree,2.0,172000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,59050.0
United States of America,Bachelor’s degree,14.0,101000.0
United States of America,Less than a Bachelors,9.0,120000.0
United States of America,Less than a Bachelors,19.0,160000.0
United States of America,Bachelor’s degree,4.0,175000.0
Brazil,Bachelor’s degree,3.0,42440.0
Canada,Bachelor’s degree,5.0,136647.0
Netherlands,Bachelor’s degree,37.0,62387.0
United States of America,Less than a Bachelors,46.0,100000.0
France,Master’s degree,3.0,58654.0
Canada,Less than a Bachelors,0.5,46850.0
Germany,Master’s degree,20.0,68252.0
Mexico,Bachelor’s degree,0.5,12500.0
Spain,Master’s degree,3.0,26128.0
United States of America,Bachelor’s degree,5.0,75000.0
United States of America,Bachelor’s degree,22.0,250000.0
Netherlands,Less than a Bachelors,12.0,49056.0
Canada,Less than a Bachelors,3.0,75507.0
Poland,Master’s degree,2.0,27756.0
Israel,Bachelor’s degree,11.0,197292.0
Sweden,Master’s degree,6.0,73140.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,27641.0
Canada,Bachelor’s degree,2.0,43727.0
Israel,Bachelor’s degree,15.0,190925.0
Czech Republic,Master’s degree,7.0,114324.0
Poland,Master’s degree,10.0,50875.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,96742.0
Switzerland,Master’s degree,20.0,155129.0
United States of America,Bachelor’s degree,23.0,140000.0
Israel,Less than a Bachelors,6.0,96852.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,42089.0
Netherlands,Bachelor’s degree,12.0,93846.0
United States of America,Bachelor’s degree,2.0,67000.0
Brazil,Bachelor’s degree,15.0,86304.0
Netherlands,Less than a Bachelors,1.0,213287.0
Austria,Less than a Bachelors,13.0,66119.0
Germany,Master’s degree,3.0,71451.0
United States of America,Bachelor’s degree,3.0,150000.0
United States of America,Bachelor’s degree,3.0,83000.0
Sweden,Bachelor’s degree,10.0,71916.0
France,Master’s degree,5.0,34126.0
Canada,Master’s degree,7.0,70276.0
Canada,Master’s degree,14.0,140551.0
Poland,Master’s degree,4.0,41628.0
United States of America,Bachelor’s degree,8.0,104000.0
United States of America,Bachelor’s degree,1.0,155000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,7.0,26384.0
United States of America,Bachelor’s degree,10.0,206000.0
Spain,Less than a Bachelors,15.0,49056.0
United States of America,Bachelor’s degree,3.0,45000.0
United States of America,Bachelor’s degree,2.0,130000.0
United States of America,Less than a Bachelors,10.0,230000.0
United States of America,Bachelor’s degree,12.0,155000.0
Other,Less than a Bachelors,5.0,38392.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,19.0,138203.0
Austria,Less than a Bachelors,24.0,74651.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,75384.0
Canada,Less than a Bachelors,10.0,74180.0
United States of America,Bachelor’s degree,4.0,130000.0
Israel,Master’s degree,12.0,194303.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,24.0,81666.0
United States of America,Bachelor’s degree,1.0,80000.0
Ireland,Bachelor’s degree,15.0,53322.0
South Africa,Bachelor’s degree,21.0,56897.0
United States of America,Bachelor’s degree,4.0,240000.0
Germany,Less than a Bachelors,1.0,44790.0
United States of America,Master’s degree,0.5,100000.0
United States of America,Bachelor’s degree,7.0,75000.0
Austria,Bachelor’s degree,3.0,43512.0
Sweden,Master’s degree,10.0,68256.0
United States of America,Master’s degree,3.0,120000.0
United States of America,Bachelor’s degree,20.0,160000.0
Other,Bachelor’s degree,3.0,45899.0
United States of America,Post grad,32.0,175000.0
China,Bachelor’s degree,5.0,75684.0
United States of America,Bachelor’s degree,11.0,150000.0
Sweden,Less than a Bachelors,7.0,60948.0
United States of America,Less than a Bachelors,14.0,120000.0
United States of America,Master’s degree,20.0,210000.0
United States of America,Bachelor’s degree,4.0,109000.0
United States of America,Bachelor’s degree,4.0,70000.0
United States of America,Less than a Bachelors,13.0,150000.0
United States of America,Bachelor’s degree,5.0,100000.0
Brazil,Bachelor’s degree,19.0,74784.0
Other,Bachelor’s degree,2.0,13560.0
Italy,Less than a Bachelors,1.0,14460.0
United States of America,Bachelor’s degree,15.0,96000.0
United States of America,Less than a Bachelors,2.0,52800.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,50256.0
United States of America,Bachelor’s degree,22.0,160000.0
Finland,Bachelor’s degree,6.0,42228.0
United States of America,Bachelor’s degree,9.0,124000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,12.0,125639.0
France,Master’s degree,5.0,44790.0
United States of America,Bachelor’s degree,20.0,205000.0
Other,Less than a Bachelors,14.0,53748.0
Netherlands,Bachelor’s degree,6.0,54384.0
United States of America,Less than a Bachelors,4.0,100000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,9.0,55281.0
France,Master’s degree,5.0,52255.0
Israel,Bachelor’s degree,4.0,111204.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,56538.0
United States of America,Bachelor’s degree,1.0,76000.0
United States of America,Bachelor’s degree,8.0,115000.0
United States of America,Less than a Bachelors,8.0,200000.0
Denmark,Master’s degree,2.0,103248.0
Germany,Less than a Bachelors,3.0,40956.0
United States of America,Bachelor’s degree,12.0,86000.0
United States of America,Bachelor’s degree,5.0,165000.0
Belgium,Bachelor’s degree,23.0,92780.0
United States of America,Less than a Bachelors,0.5,160000.0
United States of America,Master’s degree,5.0,145000.0
United States of America,Less than a Bachelors,6.0,80000.0
Spain,Less than a Bachelors,6.0,31993.0
United States of America,Bachelor’s degree,3.0,96300.0
Germany,Bachelor’s degree,1.0,57588.0
United States of America,Less than a Bachelors,1.0,55000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,12.0,126142.0
United States of America,Bachelor’s degree,4.0,158000.0
United States of America,Post grad,5.0,90000.0
Spain,Bachelor’s degree,10.0,25594.0
Spain,Less than a Bachelors,0.5,21329.0
United States of America,Bachelor’s degree,6.0,150000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,87948.0
Sweden,Master’s degree,7.0,92436.0
United States of America,Less than a Bachelors,1.0,75000.0
Israel,Bachelor’s degree,9.0,150660.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,22.0,108050.0
France,Bachelor’s degree,5.0,36259.0
Canada,Bachelor’s degree,1.0,89016.0
United States of America,Less than a Bachelors,8.0,120000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,100511.0
United States of America,Master’s degree,6.0,140000.0
Netherlands,Bachelor’s degree,2.0,42228.0
Australia,Bachelor’s degree,19.0,106157.0
Greece,Bachelor’s degree,1.0,17063.0
United States of America,Master’s degree,20.0,200000.0
Czech Republic,Less than a Bachelors,5.0,24420.0
United States of America,Bachelor’s degree,17.0,160000.0
United States of America,Master’s degree,5.0,110000.0
Netherlands,Bachelor’s degree,4.0,62712.0
Germany,Bachelor’s degree,6.0,63986.0
Australia,Bachelor’s degree,1.0,67940.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,15.0,125639.0
United States of America,Less than a Bachelors,4.0,53000.0
Switzerland,Master’s degree,10.0,110659.0
United States of America,Bachelor’s degree,3.0,72000.0
Canada,Bachelor’s degree,3.0,62467.0
United States of America,Bachelor’s degree,3.0,50000.0
France,Master’s degree,9.0,106644.0
Canada,Bachelor’s degree,27.0,54659.0
Finland,Bachelor’s degree,2.0,38388.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,60307.0
India,Bachelor’s degree,13.0,30948.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,9.0,50256.0
Canada,Bachelor’s degree,4.0,58563.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,6.0,56538.0
Portugal,Master’s degree,11.0,50123.0
United States of America,Bachelor’s degree,1.0,200000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,28.0,113075.0
Argentina,Less than a Bachelors,3.0,13128.0
Hungary,Bachelor’s degree,2.0,23436.0
United States of America,Bachelor’s degree,3.0,90000.0
United States of America,Bachelor’s degree,2.0,70000.0
United States of America,Bachelor’s degree,2.0,171000.0
France,Master’s degree,1.0,26661.0
United States of America,Master’s degree,14.0,86000.0
Germany,Less than a Bachelors,7.0,47990.0
United States of America,Bachelor’s degree,2.0,78000.0
France,Less than a Bachelors,5.0,72518.0
United States of America,Bachelor’s degree,22.0,187000.0
India,Bachelor’s degree,5.0,64486.0
United States of America,Bachelor’s degree,1.0,78337.0
Australia,Less than a Bachelors,10.0,81387.0
Hungary,Bachelor’s degree,8.0,23436.0
United States of America,Bachelor’s degree,11.0,215000.0
Canada,Bachelor’s degree,5.0,85112.0
Canada,Less than a Bachelors,2.0,50755.0
United States of America,Bachelor’s degree,7.0,150000.0
France,Master’s degree,6.0,47990.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,81666.0
Germany,Master’s degree,14.0,170630.0
United States of America,Bachelor’s degree,4.0,162373.0
France,Master’s degree,14.0,69318.0
Canada,Less than a Bachelors,2.0,64029.0
United States of America,Bachelor’s degree,1.0,55000.0
Netherlands,Less than a Bachelors,10.0,41592.0
Denmark,Master’s degree,6.0,86040.0
United States of America,Less than a Bachelors,15.0,125000.0
United States of America,Less than a Bachelors,31.0,200000.0
United States of America,Less than a Bachelors,12.0,110000.0
United States of America,Master’s degree,2.0,250000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,7.0,71614.0
Finland,Master’s degree,15.0,69744.0
United States of America,Master’s degree,4.0,82000.0
United States of America,Bachelor’s degree,8.0,125000.0
United States of America,Bachelor’s degree,25.0,150000.0
United States of America,Bachelor’s degree,7.0,180000.0
Switzerland,Master’s degree,1.0,93078.0
United States of America,Master’s degree,20.0,140000.0
United States of America,Bachelor’s degree,21.0,95000.0
Finland,Master’s degree,6.0,76788.0
United States of America,Bachelor’s degree,7.0,125000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,2.0,32666.0
Netherlands,Master’s degree,2.0,154633.0
Canada,Bachelor’s degree,5.0,121030.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,62820.0
Hungary,Master’s degree,16.0,66948.0
Poland,Master’s degree,12.0,77700.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,59679.0
Germany,Post grad,10.0,95979.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,72243.0
Canada,Bachelor’s degree,15.0,117126.0
Belgium,Bachelor’s degree,2.0,29436.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,44853.0
United States of America,Less than a Bachelors,12.0,135000.0
Germany,Master’s degree,5.0,65268.0
United States of America,Bachelor’s degree,2.0,110000.0
United States of America,Bachelor’s degree,7.0,75000.0
Brazil,Less than a Bachelors,1.0,112176.0
United States of America,Bachelor’s degree,23.0,120000.0
United States of America,Bachelor’s degree,6.0,120000.0
Ukraine,Master’s degree,17.0,55000.0
Other,Master’s degree,6.0,23352.0
Spain,Post grad,22.0,53322.0
United States of America,Less than a Bachelors,8.0,114000.0
United States of America,Master’s degree,25.0,161000.0
United States of America,Master’s degree,11.0,175000.0
United States of America,Less than a Bachelors,20.0,172000.0
Canada,Less than a Bachelors,11.0,105414.0
Germany,Less than a Bachelors,3.0,63984.0
United States of America,Bachelor’s degree,8.0,62000.0
Other,Bachelor’s degree,1.0,17568.0
Poland,Bachelor’s degree,13.0,110000.0
Germany,Bachelor’s degree,11.0,69318.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,87948.0
United States of America,Bachelor’s degree,15.0,200000.0
Austria,Post grad,30.0,159966.0
United States of America,Bachelor’s degree,2.0,75000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,41461.0
United States of America,Bachelor’s degree,5.0,125000.0
United States of America,Less than a Bachelors,4.0,85000.0
United States of America,Less than a Bachelors,14.0,51000.0
France,Master’s degree,7.0,49908.0
Germany,Bachelor’s degree,7.0,110568.0
United States of America,Less than a Bachelors,6.0,120000.0
Canada,Bachelor’s degree,5.0,149922.0
Other,Less than a Bachelors,25.0,114708.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,8.0,113075.0
United States of America,Master’s degree,10.0,225000.0
United States of America,Bachelor’s degree,10.0,220000.0
United States of America,Less than a Bachelors,11.0,180000.0
United States of America,Bachelor’s degree,5.0,105000.0
Germany,Bachelor’s degree,5.0,95979.0
Spain,Less than a Bachelors,22.0,44790.0
Canada,Bachelor’s degree,8.0,166319.0
Brazil,Less than a Bachelors,34.0,13212.0
Spain,Post grad,10.0,37325.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,62820.0
United States of America,Bachelor’s degree,4.0,120000.0
Mexico,Bachelor’s degree,8.0,18060.0
United States of America,Bachelor’s degree,9.0,120000.0
United States of America,Master’s degree,3.0,120000.0
Brazil,Less than a Bachelors,3.0,14208.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,75384.0
Hungary,Bachelor’s degree,10.0,43524.0
United States of America,Bachelor’s degree,8.0,162000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,10.0,175895.0
United States of America,Less than a Bachelors,2.0,115000.0
Norway,Bachelor’s degree,2.0,66371.0
United States of America,Master’s degree,12.0,250000.0
United States of America,Bachelor’s degree,6.0,160000.0
India,Bachelor’s degree,2.0,28374.0
United States of America,Bachelor’s degree,12.0,160000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,125639.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,55910.0
United States of America,Less than a Bachelors,13.0,88000.0
Romania,Bachelor’s degree,2.0,72480.0
Netherlands,Less than a Bachelors,6.0,31993.0
Poland,Master’s degree,9.0,69372.0
Czech Republic,Bachelor’s degree,12.0,57156.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,20.0,87948.0
Denmark,Master’s degree,27.0,111840.0
Other,Less than a Bachelors,5.0,11244.0
United States of America,Post grad,20.0,134000.0
Germany,Bachelor’s degree,4.0,60040.0
United States of America,Less than a Bachelors,6.0,175000.0
Denmark,Bachelor’s degree,8.0,77688.0
France,Master’s degree,4.0,38392.0
Serbia,Master’s degree,13.0,43584.0
France,Master’s degree,1.0,49056.0
Canada,Bachelor’s degree,4.0,200000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,138203.0
United States of America,Bachelor’s degree,4.0,150000.0
United States of America,Bachelor’s degree,8.0,147000.0
United States of America,Less than a Bachelors,10.0,165000.0
Italy,Less than a Bachelors,12.0,36259.0
India,Master’s degree,6.0,24118.0
United States of America,Bachelor’s degree,8.0,140000.0
United States of America,Bachelor’s degree,7.0,116000.0
United States of America,Bachelor’s degree,10.0,155000.0
United States of America,Bachelor’s degree,16.0,175000.0
United States of America,Less than a Bachelors,3.0,135000.0
United States of America,Bachelor’s degree,2.0,140000.0
Sweden,Less than a Bachelors,10.0,75576.0
United States of America,Bachelor’s degree,4.0,61000.0
United States of America,Bachelor’s degree,24.0,178000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,7.0,125639.0
United States of America,Post grad,10.0,160000.0
United States of America,Bachelor’s degree,2.0,89000.0
United States of America,Bachelor’s degree,13.0,185000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,100511.0
United States of America,Bachelor’s degree,3.0,90000.0
France,Master’s degree,2.0,30713.0
United States of America,Less than a Bachelors,7.0,62500.0
United States of America,Bachelor’s degree,3.0,105000.0
Other,Bachelor’s degree,1.0,39276.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,9.0,182177.0
United States of America,Master’s degree,11.0,180000.0
Norway,Bachelor’s degree,3.0,67409.0
United States of America,Bachelor’s degree,6.0,80000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,69102.0
United States of America,Less than a Bachelors,1.0,128750.0
United States of America,Bachelor’s degree,3.0,170000.0
United States of America,Less than a Bachelors,8.0,125000.0
United States of America,Bachelor’s degree,4.0,80000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,3.0,45858.0
Belgium,Bachelor’s degree,7.0,63986.0
United States of America,Less than a Bachelors,4.0,170000.0
Sweden,Less than a Bachelors,35.0,65820.0
India,Bachelor’s degree,8.0,77383.0
United States of America,Less than a Bachelors,4.0,100000.0
Norway,Bachelor’s degree,10.0,103705.0
United States of America,Bachelor’s degree,0.5,120000.0
United States of America,Less than a Bachelors,13.0,200000.0
United States of America,Bachelor’s degree,2.0,165000.0
Denmark,Master’s degree,2.0,77436.0
Hungary,Bachelor’s degree,10.0,46872.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,25.0,163331.0
Switzerland,Post grad,15.0,134445.0
Australia,Post grad,20.0,99080.0
India,Bachelor’s degree,6.0,51589.0
Israel,Bachelor’s degree,10.0,125544.0
United States of America,Bachelor’s degree,7.0,250000.0
Argentina,Less than a Bachelors,14.0,30300.0
United States of America,Less than a Bachelors,3.0,95000.0
France,Bachelor’s degree,18.0,33603.0
Poland,Bachelor’s degree,3.0,31908.0
United States of America,Less than a Bachelors,9.0,81000.0
United States of America,Master’s degree,0.5,105000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,37692.0
United States of America,Bachelor’s degree,10.0,175000.0
Belgium,Less than a Bachelors,4.0,53748.0
Netherlands,Bachelor’s degree,6.0,83184.0
United States of America,Bachelor’s degree,6.0,120000.0
Finland,Bachelor’s degree,12.0,74651.0
United States of America,Master’s degree,14.0,195000.0
Spain,Master’s degree,7.0,69318.0
Israel,Less than a Bachelors,23.0,157836.0
United States of America,Bachelor’s degree,5.0,160000.0
United States of America,Less than a Bachelors,4.0,181000.0
United States of America,Bachelor’s degree,11.0,145000.0
Hungary,Bachelor’s degree,23.0,40176.0
Germany,Master’s degree,4.0,85315.0
France,Master’s degree,18.0,92136.0
United States of America,Bachelor’s degree,3.0,82000.0
United States of America,Less than a Bachelors,9.0,180000.0
United States of America,Bachelor’s degree,8.0,230000.0
Denmark,Master’s degree,10.0,80868.0
Czech Republic,Master’s degree,3.0,28584.0
Hungary,Less than a Bachelors,8.0,53568.0
United States of America,Master’s degree,3.0,204000.0
Germany,Master’s degree,6.0,111976.0
Canada,Bachelor’s degree,3.0,55830.0
Germany,Bachelor’s degree,3.0,89581.0
Denmark,Bachelor’s degree,6.0,106680.0
United States of America,Master’s degree,7.0,236000.0
Canada,Bachelor’s degree,5.0,117126.0
United States of America,Bachelor’s degree,20.0,112000.0
United States of America,Bachelor’s degree,11.0,90000.0
United States of America,Bachelor’s degree,16.0,130000.0
United States of America,Bachelor’s degree,10.0,122500.0
Other,Master’s degree,4.0,32588.0
United States of America,Bachelor’s degree,4.0,91000.0
Sweden,Master’s degree,6.0,52104.0
Canada,Bachelor’s degree,25.0,234252.0
Portugal,Bachelor’s degree,7.0,53322.0
United States of America,Master’s degree,7.0,150000.0
United States of America,Bachelor’s degree,0.5,120000.0
Israel,Bachelor’s degree,7.0,172188.0
United States of America,Bachelor’s degree,4.0,240000.0
Italy,Bachelor’s degree,2.0,117308.0
Canada,Bachelor’s degree,17.0,101509.0
United States of America,Master’s degree,3.0,92000.0
South Africa,Master’s degree,8.0,164370.0
United States of America,Master’s degree,7.0,95000.0
United States of America,Less than a Bachelors,0.5,45000.0
Germany,Bachelor’s degree,2.0,16632.0
Spain,Bachelor’s degree,10.0,35192.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,0.5,43974.0
Canada,Bachelor’s degree,6.0,81988.0
Germany,Less than a Bachelors,2.0,49908.0
United States of America,Master’s degree,16.0,140000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,113075.0
United States of America,Bachelor’s degree,1.0,110000.0
United States of America,Less than a Bachelors,10.0,100000.0
United States of America,Bachelor’s degree,5.0,85000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,113075.0
United States of America,Master’s degree,7.0,230000.0
United States of America,Bachelor’s degree,8.0,165000.0
United States of America,Master’s degree,3.0,180000.0
Brazil,Master’s degree,10.0,110000.0
Brazil,Post grad,7.0,32412.0
United States of America,Less than a Bachelors,22.0,120000.0
United States of America,Bachelor’s degree,3.0,85000.0
Netherlands,Master’s degree,0.5,42657.0
United States of America,Less than a Bachelors,12.0,250000.0
United States of America,Bachelor’s degree,24.0,130000.0
Canada,Master’s degree,11.0,100000.0
United States of America,Bachelor’s degree,2.0,140000.0
Poland,Bachelor’s degree,3.0,33300.0
Lithuania,Less than a Bachelors,0.5,18048.0
United States of America,Bachelor’s degree,4.0,130000.0
Sweden,Master’s degree,22.0,73140.0
Brazil,Less than a Bachelors,17.0,37392.0
India,Master’s degree,3.0,64486.0
United States of America,Less than a Bachelors,4.0,170000.0
Sweden,Master’s degree,3.0,63384.0
Finland,Bachelor’s degree,15.0,44796.0
United States of America,Bachelor’s degree,7.0,170000.0
United States of America,Master’s degree,6.0,115000.0
Austria,Less than a Bachelors,0.5,47776.0
United States of America,Bachelor’s degree,7.0,100000.0
United States of America,Master’s degree,2.0,151000.0
France,Master’s degree,6.0,42231.0
Canada,Bachelor’s degree,0.5,48998.0
Hungary,Less than a Bachelors,8.0,60252.0
United States of America,Less than a Bachelors,6.0,200000.0
United States of America,Bachelor’s degree,7.0,159000.0
Canada,Bachelor’s degree,1.0,54020.0
Denmark,Master’s degree,7.0,110124.0
South Africa,Master’s degree,6.0,37932.0
United States of America,Bachelor’s degree,3.0,140000.0
United States of America,Bachelor’s degree,10.0,115000.0
United States of America,Bachelor’s degree,9.0,55000.0
Austria,Less than a Bachelors,3.0,51189.0
United States of America,Bachelor’s degree,4.0,70000.0
United States of America,Post grad,2.0,218000.0
United States of America,Master’s degree,32.0,170000.0
United States of America,Bachelor’s degree,10.0,155000.0
United States of America,Bachelor’s degree,3.0,155000.0
United States of America,Bachelor’s degree,2.0,100000.0
United States of America,Bachelor’s degree,2.0,90000.0
United States of America,Bachelor’s degree,4.0,150000.0
United States of America,Bachelor’s degree,20.0,115500.0
Italy,Less than a Bachelors,0.5,20472.0
Canada,Bachelor’s degree,2.0,70276.0
United States of America,Bachelor’s degree,32.0,250000.0
Israel,Bachelor’s degree,6.0,69588.0
Sweden,Less than a Bachelors,17.0,182841.0
United States of America,Bachelor’s degree,7.0,140000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,109826.0
United States of America,Bachelor’s degree,2.0,100000.0
Sweden,Less than a Bachelors,16.0,91416.0
Finland,Bachelor’s degree,4.0,63984.0
Mexico,Bachelor’s degree,10.0,30108.0
"Iran, Islamic Republic of...",Master’s degree,12.0,70920.0
